EHS_Base_ID,Latitude,Longitude,Region,Coverage_Area,Population_Served,Communities_Served,Population_Density
EHS_Base_01,46.17944172855879,-60.77455010545181,Region_1,15km_radius,4077,1,4077.0
EHS_Base_02,44.86665974975977,-63.15001722702976,Region_2,15km_radius,439819,1,439819.0
EHS_Base_03,44.72413262699221,-65.49955801324492,Region_3,15km_radius,6525,3,2175.0
EHS_Base_04,45.34072124159668,-63.25801558705643,Region_4,15km_radius,13875,2,6937.5
EHS_Base_05,43.447297434868034,-65.63654775291435,Region_5,15km_radius,725,1,725.0
EHS_Base_06,44.67722112755853,-64.35252607236673,Region_6,15km_radius,10693,1,10693.0
EHS_Base_07,45.63018510928733,-62.039337020872715,Region_7,15km_radius,8963,1,8963.0
EHS_Base_08,45.07205627894064,-64.51683901807753,Region_8,15km_radius,6630,1,6630.0
EHS_Base_09,45.82343137796858,-64.20535965265745,Region_9,15km_radius,9404,1,9404.0
EHS_Base_10,43.92662092653887,-65.71760926031237,Region_10,15km_radius,7870,1,7870.0
EHS_Base_11,46.010240281086716,-60.25791017952736,Region_11,15km_radius,93694,1,93694.0
EHS_Base_12,44.43202211670969,-64.59025613403603,Region_12,15km_radius,25545,1,25545.0
EHS_Base_13,45.56197666719505,-62.670847080217136,Region_13,15km_radius,4007,1,4007.0
EHS_Base_14,45.819477291955316,-61.27412686565686,Region_14,15km_radius,3167,1,3167.0
EHS_Base_15,44.96970195786952,-64.11512670626222,Region_15,15km_radius,19509,1,19509.0
EHS_Base_16,44.40204860767803,-65.72237758721782,Region_16,15km_radius,7242,1,7242.0
EHS_Base_17,45.09868739790781,-63.70148671693974,Region_17,15km_radius,22892,1,22892.0
EHS_Base_18,46.490068227758144,-60.9354861348657,Region_18,15km_radius,5207,1,5207.0
EHS_Base_19,45.549000090167056,-63.26512021212877,Region_19,15km_radius,19806,1,19806.0
EHS_Base_20,44.18113374085015,-64.96685132351618,Region_20,15km_radius,10437,2,5218.5
EHS_Base_21,44.95940023340247,-64.75583282994057,Region_21,15km_radius,22355,1,22355.0
EHS_Base_22,45.19109465178321,-62.16954145055515,Region_22,15km_radius,2161,1,2161.0
EHS_Base_23,45.50067599659516,-64.57032754899332,Region_23,15km_radius,3201,1,3201.0
EHS_Base_24,45.35379312473309,-61.53734017748428,Region_24,15km_radius,4585,1,4585.0
EHS_Base_25,45.540990520459104,-61.02415501268266,Region_25,15km_radius,3136,1,3136.0
EHS_Base_26,45.60256283888984,-64.14216528778894,Region_26,15km_radius,6786,1,6786.0
EHS_Base_27,44.21447935218582,-66.0006033041922,Region_27,15km_radius,7678,1,7678.0
EHS_Base_28,43.877497358091986,-65.28968799025236,Region_28,15km_radius,4336,1,4336.0
EHS_Base_29,43.64389006997893,-65.58084197925176,Region_29,15km_radius,6523,1,6523.0
EHS_Base_30,46.05644529118825,-61.31325537552723,Region_30,15km_radius,4865,1,4865.0
EHS_Base_31,43.83762166287679,-66.10646004862201,Region_31,15km_radius,7010,2,3505.0
EHS_Base_32,45.70426380789604,-63.6214126447471,Region_32,15km_radius,4283,1,4283.0
EHS_Base_33,44.944686887008956,-65.0732005324087,Region_33,15km_radius,1873,1,1873.0
EHS_Base_34,45.182053248465344,-64.46647595967315,Region_34,15km_radius,11951,1,11951.0
EHS_Base_35,45.469672548924045,-63.78019321556339,Region_35,15km_radius,3762,1,3762.0
EHS_Base_36,45.661319271924974,-61.066242043119814,Region_36,15km_radius,3763,1,3763.0
EHS_Base_37,45.68202087201808,-62.706282283723304,Region_37,15km_radius,3556,2,1778.0
EHS_Base_38,45.51762292288424,-62.383834500706485,Region_38,15km_radius,8386,1,8386.0
EHS_Base_39,43.955529051414025,-66.00101740842786,Region_39,15km_radius,10067,1,10067.0
EHS_Base_40,46.63887063350517,-60.54756008829008,Region_40,15km_radius,2673,1,2673.0
EHS_Base_41,45.25626235434808,-63.131274069686604,Region_41,15km_radius,12476,1,12476.0
EHS_Base_42,45.573956119940426,-61.75142489356803,Region_42,15km_radius,6510,2,3255.0
EHS_Base_43,44.618161056599654,-65.16437158071518,Region_43,15km_radius,3049,1,3049.0
EHS_Base_44,45.44128299680788,-62.71531191453252,Region_44,15km_radius,6137,1,6137.0
EHS_Base_45,44.95661655365237,-64.51608765530828,Region_45,15km_radius,8348,1,8348.0
EHS_Base_46,45.959925604049275,-60.61885057720465,Region_46,15km_radius,3521,1,3521.0
EHS_Base_47,45.70089652603455,-60.58966770322106,Region_47,15km_radius,1610,1,1610.0
EHS_Base_48,45.66095611235854,-62.92825929702166,Region_48,15km_radius,6153,1,6153.0
EHS_Base_49,45.623176694226764,-61.353337274631265,Region_49,15km_radius,3210,1,3210.0
EHS_Base_50,44.382263394619706,-64.52512279699287,Region_50,15km_radius,8790,1,8790.0
EHS_Base_51,44.62389567184244,-65.76136266868987,Region_51,15km_radius,2001,1,2001.0
EHS_Base_52,44.861839079786314,-65.2304293166785,Region_52,15km_radius,4587,1,4587.0
EHS_Base_53,45.03426227224182,-64.33669962595737,Region_53,15km_radius,5375,2,2687.5
EHS_Base_54,45.13335010549164,-63.34790005454361,Region_54,15km_radius,1557,1,1557.0
EHS_Base_55,45.84868177376198,-64.00320340197788,Region_55,15km_radius,5694,1,5694.0
EHS_Base_56,45.04807507667779,-64.7338157057251,Region_56,15km_radius,2455,1,2455.0
