EHS_Base_ID,Latitude,Longitude,Region,Coverage_Area,Population_Served,Communities_Served,Population_Density
EHS_Base_57,43.70192418872189,-65.1182362763485,Region_57,15km_radius,476,1,476.0
EHS_Base_58,45.08945122433105,-64.36080837373413,Region_58,15km_radius,5057,1,5057.0
EHS_Base_59,43.770295415795125,-65.31890642264459,Region_59,15km_radius,1644,1,1644.0
EHS_Base_60,45.08941131774453,-63.48914283983631,Region_60,15km_radius,2739,1,2739.0
EHS_Base_61,44.37688890011922,-64.31962929826751,Region_61,15km_radius,2396,1,2396.0
EHS_Base_62,45.731570522800695,-63.86566832518517,Region_62,15km_radius,1170,1,1170.0
EHS_Base_63,44.655430736792425,-63.504379607999596,Region_63,15km_radius,223,2,111.5
EHS_Base_64,46.113650032288106,-60.188326040112536,Region_64,15km_radius,1103,1,1103.0
EHS_Base_65,45.61552297216244,-62.6292095100596,Region_65,15km_radius,2407,1,2407.0
EHS_Base_66,45.96233664746333,-61.135404471990064,Region_66,15km_radius,897,2,448.5
EHS_Base_67,46.07867622921957,-60.91820926227096,Region_67,15km_radius,691,1,691.0
EHS_Base_68,45.587219102703564,-62.644947432397785,Region_68,15km_radius,9471,1,9471.0
EHS_Base_69,44.44765913264441,-64.38276749184557,Region_69,15km_radius,1064,1,1064.0
EHS_Base_70,45.623283160569265,-61.99319738076094,Region_70,15km_radius,4656,1,4656.0
EHS_Base_71,45.69565389866044,-60.76696451981847,Region_71,15km_radius,405,1,405.0
EHS_Base_72,44.962156159171975,-65.0693715090891,Region_72,15km_radius,5218,1,5218.0
EHS_Base_73,44.986668897930265,-62.69010573792976,Region_73,15km_radius,30,2,15.0
EHS_Base_74,44.333866344783914,-64.9019973268954,Region_74,15km_radius,64,2,32.0
EHS_Base_75,44.54963618678571,-65.62099090122477,Region_75,15km_radius,141,1,141.0
EHS_Base_76,45.0682736874264,-64.65099979381107,Region_76,15km_radius,743,1,743.0
EHS_Base_77,45.55460439359451,-62.710678894276946,Region_77,15km_radius,3540,1,3540.0
EHS_Base_78,44.558072125063596,-64.34421213496172,Region_78,15km_radius,81,1,81.0
EHS_Base_79,45.6055723400741,-61.4098257667071,Region_79,15km_radius,627,1,627.0
EHS_Base_80,44.794775510320385,-64.43524849331419,Region_80,15km_radius,30,1,30.0
