EHS_Base_ID,Latitude,Longitude,Region,Coverage_Area,Population_Served,Communities_Served,Population_Density
EHS_Base_01,46.01144349379994,-60.25710054097577,Region_1,15km_radius,94797,2,47398.5
EHS_Base_02,45.09868739790781,-63.70148671693974,Region_2,15km_radius,22892,1,22892.0
EHS_Base_03,44.40204860767803,-65.72237758721782,Region_3,15km_radius,7242,1,7242.0
EHS_Base_04,44.86666793501072,-63.14998585866317,Region_4,15km_radius,439849,3,146616.33333333334
EHS_Base_05,45.549000090167056,-63.26512021212877,Region_5,15km_radius,19806,1,19806.0
EHS_Base_06,44.67665425994291,-64.35269344035068,Region_6,15km_radius,10804,3,3601.3333333333335
EHS_Base_07,43.92662092653887,-65.71760926031237,Region_7,15km_radius,7870,1,7870.0
EHS_Base_08,45.573956119940426,-61.75142489356803,Region_8,15km_radius,6510,2,3255.0
EHS_Base_09,44.95940023340247,-64.75583282994057,Region_9,15km_radius,22355,1,22355.0
EHS_Base_10,45.5795755971416,-62.66031876237443,Region_10,15km_radius,19425,4,4856.25
EHS_Base_11,45.82343137796858,-64.20535965265745,Region_11,15km_radius,9404,1,9404.0
EHS_Base_12,44.382263394619706,-64.52512279699287,Region_12,15km_radius,8790,1,8790.0
EHS_Base_13,46.490068227758144,-60.9354861348657,Region_13,15km_radius,5207,1,5207.0
EHS_Base_14,45.25626235434808,-63.131274069686604,Region_14,15km_radius,12476,1,12476.0
EHS_Base_15,46.05644529118825,-61.31325537552723,Region_15,15km_radius,4865,1,4865.0
EHS_Base_16,45.06101558231805,-64.3483865448135,Region_16,15km_radius,10432,3,3477.3333333333335
EHS_Base_17,44.72413262699221,-65.49955801324492,Region_17,15km_radius,6525,3,2175.0
EHS_Base_18,45.60256283888984,-64.14216528778894,Region_18,15km_radius,6786,1,6786.0
EHS_Base_19,44.18125856875637,-64.96667288962934,Region_19,15km_radius,10452,3,3484.0
EHS_Base_20,43.754944140282454,-65.27385029545735,Region_20,15km_radius,2120,2,1060.0
EHS_Base_21,45.819477291955316,-61.27412686565686,Region_21,15km_radius,3167,1,3167.0
EHS_Base_22,45.35379312473309,-61.53734017748428,Region_22,15km_radius,4585,1,4585.0
EHS_Base_23,45.182053248465344,-64.46647595967315,Region_23,15km_radius,11951,1,11951.0
EHS_Base_24,45.661319271924974,-61.066242043119814,Region_24,15km_radius,3763,1,3763.0
EHS_Base_25,43.955529051414025,-66.00101740842786,Region_25,15km_radius,10067,1,10067.0
EHS_Base_26,44.21447935218582,-66.0006033041922,Region_26,15km_radius,7678,1,7678.0
EHS_Base_27,46.16483833928795,-60.79536983644217,Region_27,15km_radius,4768,2,2384.0
EHS_Base_28,44.96970195786952,-64.11512670626222,Region_28,15km_radius,19509,1,19509.0
EHS_Base_29,43.64389006997893,-65.58084197925176,Region_29,15km_radius,6523,1,6523.0
EHS_Base_30,45.62782550335214,-62.023563016587495,Region_30,15km_radius,13619,2,6809.5
EHS_Base_31,44.957541866863224,-65.07038289826941,Region_31,15km_radius,7091,2,3545.5
EHS_Base_32,45.469672548924045,-63.78019321556339,Region_32,15km_radius,3762,1,3762.0
EHS_Base_33,45.51762292288424,-62.383834500706485,Region_33,15km_radius,8386,1,8386.0
EHS_Base_34,45.710122758279034,-63.67382033704722,Region_34,15km_radius,5453,2,2726.5
EHS_Base_35,45.34072124159668,-63.25801558705643,Region_35,15km_radius,13875,2,6937.5
EHS_Base_36,45.44128299680788,-62.71531191453252,Region_36,15km_radius,6137,1,6137.0
EHS_Base_37,45.19109465178321,-62.16954145055515,Region_37,15km_radius,2161,1,2161.0
EHS_Base_38,43.83762166287679,-66.10646004862201,Region_38,15km_radius,7010,2,3505.0
EHS_Base_39,45.50067599659516,-64.57032754899332,Region_39,15km_radius,3201,1,3201.0
EHS_Base_40,46.63887063350517,-60.54756008829008,Region_40,15km_radius,2673,1,2673.0
EHS_Base_41,44.95661655365237,-64.51608765530828,Region_41,15km_radius,8348,1,8348.0
EHS_Base_42,45.62029998584685,-61.362567997730444,Region_42,15km_radius,3837,2,1918.5
EHS_Base_43,45.959925604049275,-60.61885057720465,Region_43,15km_radius,3521,1,3521.0
EHS_Base_44,44.618161056599654,-65.16437158071518,Region_44,15km_radius,3049,1,3049.0
EHS_Base_45,45.66095611235854,-62.92825929702166,Region_45,15km_radius,6153,1,6153.0
EHS_Base_46,44.431872732282045,-64.59088782503727,Region_46,15km_radius,25594,2,12797.0
EHS_Base_47,45.69984279695935,-60.62530304352972,Region_47,15km_radius,2015,2,1007.5
EHS_Base_48,45.07205627894064,-64.51683901807753,Region_48,15km_radius,6630,1,6630.0
EHS_Base_49,44.861839079786314,-65.2304293166785,Region_49,15km_radius,4587,1,4587.0
EHS_Base_50,43.877497358091986,-65.28968799025236,Region_50,15km_radius,4336,1,4336.0
EHS_Base_51,45.540990520459104,-61.02415501268266,Region_51,15km_radius,3136,1,3136.0
EHS_Base_52,44.61900744243395,-65.75212251032733,Region_52,15km_radius,2142,2,1071.0
EHS_Base_53,45.84868177376198,-64.00320340197788,Region_53,15km_radius,5694,1,5694.0
EHS_Base_54,45.68202087201808,-62.706282283723304,Region_54,15km_radius,3556,2,1778.0
EHS_Base_55,45.10533605995175,-63.4379521934907,Region_55,15km_radius,4296,2,2148.0
EHS_Base_56,44.39865176931194,-64.33904520519441,Region_56,15km_radius,3460,2,1730.0
EHS_Base_57,43.447297434868034,-65.63654775291435,Region_57,15km_radius,725,1,725.0
EHS_Base_58,45.05276787460969,-64.71457486064939,Region_58,15km_radius,3198,2,1599.0
EHS_Base_59,44.655430736792425,-63.504379607999596,Region_59,15km_radius,223,2,111.5
EHS_Base_60,45.96233664746333,-61.135404471990064,Region_60,15km_radius,897,2,448.5
