cluster_id,center_longitude,center_latitude,num_communities,total_population,avg_population,population_density
0,-60.25710054097577,46.01144349379994,2,94797,47398.5,47398.5
1,-63.70148671693974,45.09868739790781,1,22892,22892.0,22892.0
2,-65.72237758721782,44.40204860767803,1,7242,7242.0,7242.0
3,-63.14998585866317,44.86666793501072,3,439849,146616.33333333334,146616.33333333334
4,-63.26512021212877,45.549000090167056,1,19806,19806.0,19806.0
5,-64.35269344035068,44.67665425994291,3,10804,3601.3333333333335,3601.3333333333335
6,-65.71760926031237,43.92662092653887,1,7870,7870.0,7870.0
7,-61.75142489356803,45.573956119940426,2,6510,3255.0,3255.0
8,-64.75583282994057,44.95940023340247,1,22355,22355.0,22355.0
9,-62.66031876237443,45.5795755971416,4,19425,4856.25,4856.25
10,-64.20535965265745,45.82343137796858,1,9404,9404.0,9404.0
11,-64.52512279699287,44.382263394619706,1,8790,8790.0,8790.0
12,-60.9354861348657,46.490068227758144,1,5207,5207.0,5207.0
13,-63.131274069686604,45.25626235434808,1,12476,12476.0,12476.0
14,-61.31325537552723,46.05644529118825,1,4865,4865.0,4865.0
15,-64.3483865448135,45.06101558231805,3,10432,3477.3333333333335,3477.3333333333335
16,-65.49955801324492,44.72413262699221,3,6525,2175.0,2175.0
17,-64.14216528778894,45.60256283888984,1,6786,6786.0,6786.0
18,-64.96667288962934,44.18125856875637,3,10452,3484.0,3484.0
19,-65.27385029545735,43.754944140282454,2,2120,1060.0,1060.0
20,-61.27412686565686,45.819477291955316,1,3167,3167.0,3167.0
21,-61.53734017748428,45.35379312473309,1,4585,4585.0,4585.0
22,-64.46647595967315,45.182053248465344,1,11951,11951.0,11951.0
23,-61.066242043119814,45.661319271924974,1,3763,3763.0,3763.0
24,-66.00101740842786,43.955529051414025,1,10067,10067.0,10067.0
25,-66.0006033041922,44.21447935218582,1,7678,7678.0,7678.0
26,-60.79536983644217,46.16483833928795,2,4768,2384.0,2384.0
27,-64.11512670626222,44.96970195786952,1,19509,19509.0,19509.0
28,-65.58084197925176,43.64389006997893,1,6523,6523.0,6523.0
29,-62.023563016587495,45.62782550335214,2,13619,6809.5,6809.5
30,-65.07038289826941,44.957541866863224,2,7091,3545.5,3545.5
31,-63.78019321556339,45.469672548924045,1,3762,3762.0,3762.0
32,-62.383834500706485,45.51762292288424,1,8386,8386.0,8386.0
33,-63.67382033704722,45.710122758279034,2,5453,2726.5,2726.5
34,-63.25801558705643,45.34072124159668,2,13875,6937.5,6937.5
35,-62.71531191453252,45.44128299680788,1,6137,6137.0,6137.0
36,-62.16954145055515,45.19109465178321,1,2161,2161.0,2161.0
37,-66.10646004862201,43.83762166287679,2,7010,3505.0,3505.0
38,-64.57032754899332,45.50067599659516,1,3201,3201.0,3201.0
39,-60.54756008829008,46.63887063350517,1,2673,2673.0,2673.0
40,-64.51608765530828,44.95661655365237,1,8348,8348.0,8348.0
41,-61.362567997730444,45.62029998584685,2,3837,1918.5,1918.5
42,-60.61885057720465,45.959925604049275,1,3521,3521.0,3521.0
43,-65.16437158071518,44.618161056599654,1,3049,3049.0,3049.0
44,-62.92825929702166,45.66095611235854,1,6153,6153.0,6153.0
45,-64.59088782503727,44.431872732282045,2,25594,12797.0,12797.0
46,-60.62530304352972,45.69984279695935,2,2015,1007.5,1007.5
47,-64.51683901807753,45.07205627894064,1,6630,6630.0,6630.0
48,-65.2304293166785,44.861839079786314,1,4587,4587.0,4587.0
49,-65.28968799025236,43.877497358091986,1,4336,4336.0,4336.0
50,-61.02415501268266,45.540990520459104,1,3136,3136.0,3136.0
51,-65.75212251032733,44.61900744243395,2,2142,1071.0,1071.0
52,-64.00320340197788,45.84868177376198,1,5694,5694.0,5694.0
53,-62.706282283723304,45.68202087201808,2,3556,1778.0,1778.0
54,-63.4379521934907,45.10533605995175,2,4296,2148.0,2148.0
55,-64.33904520519441,44.39865176931194,2,3460,1730.0,1730.0
56,-65.63654775291435,43.447297434868034,1,725,725.0,725.0
57,-64.71457486064939,45.05276787460969,2,3198,1599.0,1599.0
58,-63.504379607999596,44.655430736792425,2,223,111.5,111.5
59,-61.135404471990064,45.96233664746333,2,897,448.5,448.5
