cluster_id,center_longitude,center_latitude,num_communities,total_population,avg_population,population_density
0,-64.96667288962934,44.18125856875637,3,10452,3484.0,3484.0
1,-63.1501433817126,44.86656547897201,4,440057,110014.25,110014.25
2,-60.27005566493641,46.00959851638164,3,98318,32772.666666666664,32772.666666666664
3,-63.38948576912225,45.56216171067896,3,27851,9283.666666666666,9283.666666666666
4,-64.30670360314645,45.05562181180916,6,48522,8087.0,8087.0
5,-65.94123991141788,43.91327796966418,4,24947,6236.75,6236.75
6,-64.55258716809914,44.41731268022812,5,37844,7568.8,7568.8
7,-65.39433298649016,44.72924665726369,7,16303,2329.0,2329.0
8,-61.935549743158276,45.610403391671966,4,20129,5032.25,5032.25
9,-64.1745429979883,45.7283768996268,5,26255,5251.0,5251.0
10,-63.120058944951865,45.29242395842116,4,28512,7128.0,7128.0
11,-62.656447226264476,45.56804921862316,9,43657,4850.777777777777,4850.777777777777
12,-60.8038965000311,46.54054396767715,2,7880,3940.0,3940.0
13,-65.86555567400933,44.30552335676187,2,14920,7460.0,7460.0
14,-61.19755899179754,45.55361712337806,7,17336,2476.5714285714284,2476.5714285714284
15,-63.6598453930933,45.09973795889577,3,27188,9062.666666666666,9062.666666666666
16,-61.11228213309532,46.033223048824766,6,13697,2282.8333333333335,2282.8333333333335
17,-65.44417535782442,43.72458374845574,5,13704,2740.8,2740.8
18,-64.35192350521936,44.67673105141633,4,10819,2704.75,2704.75
19,-64.75820253209945,44.96579596625027,6,40992,6832.0,6832.0
