cluster_id,center_longitude,center_latitude,num_communities,total_population,avg_population,population_density
0,-60.77455010545181,46.17944172855879,1,4077,4077.0,4077.0
1,-63.15001722702976,44.86665974975977,1,439819,439819.0,439819.0
2,-65.49955801324492,44.72413262699221,3,6525,2175.0,2175.0
3,-63.25801558705643,45.34072124159668,2,13875,6937.5,6937.5
4,-65.63654775291435,43.447297434868034,1,725,725.0,725.0
5,-64.35252607236673,44.67722112755853,1,10693,10693.0,10693.0
6,-62.039337020872715,45.63018510928733,1,8963,8963.0,8963.0
7,-64.51683901807753,45.07205627894064,1,6630,6630.0,6630.0
8,-64.20535965265745,45.82343137796858,1,9404,9404.0,9404.0
9,-65.71760926031237,43.92662092653887,1,7870,7870.0,7870.0
10,-60.25791017952736,46.010240281086716,1,93694,93694.0,93694.0
11,-64.59025613403603,44.43202211670969,1,25545,25545.0,25545.0
12,-62.670847080217136,45.56197666719505,1,4007,4007.0,4007.0
13,-61.27412686565686,45.819477291955316,1,3167,3167.0,3167.0
14,-64.11512670626222,44.96970195786952,1,19509,19509.0,19509.0
15,-65.72237758721782,44.40204860767803,1,7242,7242.0,7242.0
16,-63.70148671693974,45.09868739790781,1,22892,22892.0,22892.0
17,-60.9354861348657,46.490068227758144,1,5207,5207.0,5207.0
18,-63.26512021212877,45.549000090167056,1,19806,19806.0,19806.0
19,-64.96685132351618,44.18113374085015,2,10437,5218.5,5218.5
20,-64.75583282994057,44.95940023340247,1,22355,22355.0,22355.0
21,-62.16954145055515,45.19109465178321,1,2161,2161.0,2161.0
22,-64.57032754899332,45.50067599659516,1,3201,3201.0,3201.0
23,-61.53734017748428,45.35379312473309,1,4585,4585.0,4585.0
24,-61.02415501268266,45.540990520459104,1,3136,3136.0,3136.0
25,-64.14216528778894,45.60256283888984,1,6786,6786.0,6786.0
26,-66.0006033041922,44.21447935218582,1,7678,7678.0,7678.0
27,-65.28968799025236,43.877497358091986,1,4336,4336.0,4336.0
28,-65.58084197925176,43.64389006997893,1,6523,6523.0,6523.0
29,-61.31325537552723,46.05644529118825,1,4865,4865.0,4865.0
30,-66.10646004862201,43.83762166287679,2,7010,3505.0,3505.0
31,-63.6214126447471,45.70426380789604,1,4283,4283.0,4283.0
32,-65.0732005324087,44.944686887008956,1,1873,1873.0,1873.0
33,-64.46647595967315,45.182053248465344,1,11951,11951.0,11951.0
34,-63.78019321556339,45.469672548924045,1,3762,3762.0,3762.0
35,-61.066242043119814,45.661319271924974,1,3763,3763.0,3763.0
36,-62.706282283723304,45.68202087201808,2,3556,1778.0,1778.0
37,-62.383834500706485,45.51762292288424,1,8386,8386.0,8386.0
38,-66.00101740842786,43.955529051414025,1,10067,10067.0,10067.0
39,-60.54756008829008,46.63887063350517,1,2673,2673.0,2673.0
40,-63.131274069686604,45.25626235434808,1,12476,12476.0,12476.0
41,-61.75142489356803,45.573956119940426,2,6510,3255.0,3255.0
42,-65.16437158071518,44.618161056599654,1,3049,3049.0,3049.0
43,-62.71531191453252,45.44128299680788,1,6137,6137.0,6137.0
44,-64.51608765530828,44.95661655365237,1,8348,8348.0,8348.0
45,-60.61885057720465,45.959925604049275,1,3521,3521.0,3521.0
46,-60.58966770322106,45.70089652603455,1,1610,1610.0,1610.0
47,-62.92825929702166,45.66095611235854,1,6153,6153.0,6153.0
48,-61.353337274631265,45.623176694226764,1,3210,3210.0,3210.0
49,-64.52512279699287,44.382263394619706,1,8790,8790.0,8790.0
50,-65.76136266868987,44.62389567184244,1,2001,2001.0,2001.0
51,-65.2304293166785,44.861839079786314,1,4587,4587.0,4587.0
52,-64.33669962595737,45.03426227224182,2,5375,2687.5,2687.5
53,-63.34790005454361,45.13335010549164,1,1557,1557.0,1557.0
54,-64.00320340197788,45.84868177376198,1,5694,5694.0,5694.0
55,-64.7338157057251,45.04807507667779,1,2455,2455.0,2455.0
56,-65.1182362763485,43.70192418872189,1,476,476.0,476.0
57,-64.36080837373413,45.08945122433105,1,5057,5057.0,5057.0
58,-65.31890642264459,43.770295415795125,1,1644,1644.0,1644.0
59,-63.48914283983631,45.08941131774453,1,2739,2739.0,2739.0
60,-64.31962929826751,44.37688890011922,1,2396,2396.0,2396.0
61,-63.86566832518517,45.731570522800695,1,1170,1170.0,1170.0
62,-63.504379607999596,44.655430736792425,2,223,111.5,111.5
63,-60.188326040112536,46.113650032288106,1,1103,1103.0,1103.0
64,-62.6292095100596,45.61552297216244,1,2407,2407.0,2407.0
65,-61.135404471990064,45.96233664746333,2,897,448.5,448.5
66,-60.91820926227096,46.07867622921957,1,691,691.0,691.0
67,-62.644947432397785,45.587219102703564,1,9471,9471.0,9471.0
68,-64.38276749184557,44.44765913264441,1,1064,1064.0,1064.0
69,-61.99319738076094,45.623283160569265,1,4656,4656.0,4656.0
70,-60.76696451981847,45.69565389866044,1,405,405.0,405.0
71,-65.0693715090891,44.962156159171975,1,5218,5218.0,5218.0
72,-62.69010573792976,44.986668897930265,2,30,15.0,15.0
73,-64.9019973268954,44.333866344783914,2,64,32.0,32.0
74,-65.62099090122477,44.54963618678571,1,141,141.0,141.0
75,-64.65099979381107,45.0682736874264,1,743,743.0,743.0
76,-62.710678894276946,45.55460439359451,1,3540,3540.0,3540.0
77,-64.34421213496172,44.558072125063596,1,81,81.0,81.0
78,-61.4098257667071,45.6055723400741,1,627,627.0,627.0
79,-64.43524849331419,44.794775510320385,1,30,30.0,30.0
