cluster_id,center_longitude,center_latitude,num_communities,total_population,avg_population,population_density
0,-63.1501433817126,44.86656547897201,4,440057,110014.25,110014.25
1,-60.27005566493641,46.00959851638164,3,98318,32772.666666666664,32772.666666666664
2,-65.28448726023913,43.837253736382536,3,6456,2152.0,2152.0
3,-62.8469584154387,45.66867125144076,3,9709,3236.3333333333335,3236.3333333333335
4,-64.69384342292629,44.96526483867682,3,33158,11052.666666666666,11052.666666666666
5,-63.26512021212877,45.549000090167056,1,19806,19806.0,19806.0
6,-64.55258716809914,44.41731268022812,5,37844,7568.8,7568.8
7,-61.07538059509346,45.62546976503654,6,12751,2125.1666666666665,2125.1666666666665
8,-64.12911924390335,45.8329542123604,2,15098,7549.0,7549.0
9,-65.72237758721782,44.40204860767803,1,7242,7242.0,7242.0
10,-63.6598453930933,45.09973795889577,3,27188,9062.666666666666,9062.666666666666
11,-60.54756008829008,46.63887063350517,1,2673,2673.0,2673.0
12,-61.935549743158276,45.610403391671966,4,20129,5032.25,5032.25
13,-65.94123991141788,43.91327796966418,4,24947,6236.75,6236.75
14,-64.44166543316045,45.112532601785745,5,29645,5929.0,5929.0
15,-64.96667288962934,44.18125856875637,3,10452,3484.0,3484.0
16,-63.19800924305787,45.30073379985582,3,26351,8783.666666666666,8783.666666666666
17,-61.28663475616668,46.04232282259051,2,5742,2871.0,2871.0
18,-64.11582025038898,44.970111107157166,2,19620,9810.0,9810.0
19,-65.1332475087543,44.919950782403404,3,11678,3892.6666666666665,3892.6666666666665
20,-65.58641409375305,43.624225381726255,2,7248,3624.0,3624.0
21,-64.01306603336037,45.555166813970295,2,10548,5274.0,5274.0
22,-64.35192350521936,44.67673105141633,4,10819,2704.75,2704.75
23,-66.0006033041922,44.21447935218582,1,7678,7678.0,7678.0
24,-61.53734017748428,45.35379312473309,1,4585,4585.0,4585.0
25,-62.67352167978286,45.54637390368068,5,25562,5112.4,5112.4
26,-60.79536983644217,46.16483833928795,2,4768,2384.0,2384.0
27,-62.383834500706485,45.51762292288424,1,8386,8386.0,8386.0
28,-60.9354861348657,46.490068227758144,1,5207,5207.0,5207.0
29,-62.16954145055515,45.19109465178321,1,2161,2161.0,2161.0
30,-63.67382033704722,45.710122758279034,2,5453,2726.5,2726.5
31,-61.27227744805185,45.819921321215304,2,3187,1593.5,1593.5
32,-64.57032754899332,45.50067599659516,1,3201,3201.0,3201.0
33,-65.4585038753111,44.67733461884517,6,11716,1952.6666666666667,1952.6666666666667
